"Kunde";"Bestelldatum";"Bestelldatum_Roh";"Bestellzeit";"Bestellnummer";"Zustelldatum";"Bestellübersicht";"Interne Tags"
"LRT technologies GmbH";"Di., 04.11.25 08:20";"Di., 04.11.25";"08:20";"12520-250036869";"Mi., 05.11.25";"5";""
"h&m gutberlet GmbH / Kaweco";"Di., 04.11.25 08:11";"Di., 04.11.25";"08:11";"13306-250036868";"Mi., 05.11.25";"4";""
"Bayraktar Sibel (Café S)";"Di., 04.11.25 08:06";"Di., 04.11.25";"08:06";"12528-250036867";"Mi., 05.11.25";"12";""
"Bäcker Feihl -  Nürnberger Straße";"Di., 04.11.25 07:53";"Di., 04.11.25";"07:53";"13783-250036866";"Fr., 07.11.25";"1";""
"Bäckerei Feihl - Filiale Ob. Markt";"Di., 04.11.25 07:40";"Di., 04.11.25";"07:40";"13760-250036865";"Do., 06.11.25";"10";""
"Bäckerei Feihl - Filiale Pölling";"Di., 04.11.25 07:34";"Di., 04.11.25";"07:34";"13758-250036864";"Do., 06.11.25";"10";""
"Bäcker Feihl - Neumarkter Straße";"Di., 04.11.25 06:29";"Di., 04.11.25";"06:29";"13793-250036863";"Do., 06.11.25";"13";""
"Lokmas";"Di., 04.11.25 04:36";"Di., 04.11.25";"04:36";"12769-250036862";"Di., 04.11.25";"4";""
"Strike Bowlingcenter";"Di., 04.11.25 03:50";"Di., 04.11.25";"03:50";"11064-250036861";"Fr., 07.11.25";"5";""
"SANDYBEL e.K.";"Di., 04.11.25 03:49";"Di., 04.11.25";"03:49";"10433-250036860";"Fr., 07.11.25";"4";""
"CoDung Restaurant";"Di., 04.11.25 01:59";"Di., 04.11.25";"01:59";"11895-250036859";"Di., 04.11.25";"13";""
"Villa Flaire GmbH";"Di., 04.11.25 00:06";"Di., 04.11.25";"00:06";"13543-250036858";"Mi., 05.11.25";"3";""
"Flair Ingolstadt";"Mo., 03.11.25 23:39";"Mo., 03.11.25";"23:39";"12725-250036857";"Di., 04.11.25";"14";""
"Pause Coffee Bar";"Mo., 03.11.25 23:38";"Mo., 03.11.25";"23:38";"13719-250036856";"Di., 04.11.25";"13";""
"Babylon Kino am Stadtpark";"Mo., 03.11.25 22:50";"Mo., 03.11.25";"22:50";"13287-250036855";"Fr., 07.11.25";"2";""
"La Empanaderia";"Mo., 03.11.25 22:28";"Mo., 03.11.25";"22:28";"12804-250036854";"Di., 04.11.25";"14";""
"La Fum‘ee";"Mo., 03.11.25 21:57";"Mo., 03.11.25";"21:57";"13013-250036853";"Di., 04.11.25";"4";""
"Mom Restaurant";"Mo., 03.11.25 21:56";"Mo., 03.11.25";"21:56";"13683-250036852";"Di., 04.11.25";"6";""
"Südlich Café Restaurant";"Mo., 03.11.25 21:34";"Mo., 03.11.25";"21:34";"10091-250036851";"Di., 04.11.25";"9";""
"Packbuy GbR";"Mo., 03.11.25 21:29";"Mo., 03.11.25";"21:29";"12701-250036850";"Mi., 05.11.25";"9";""
"CoCo Sushi & Lounge";"Mo., 03.11.25 21:25";"Mo., 03.11.25";"21:25";"11643-250036849";"Di., 04.11.25";"23";""
"Zucchero";"Mo., 03.11.25 21:13";"Mo., 03.11.25";"21:13";"13157-250036848";"Di., 04.11.25";"3";""
"Wagaya";"Mo., 03.11.25 20:32";"Mo., 03.11.25";"20:32";"13916-250036847";"Do., 06.11.25";"12";""
"yaya food GmbH Mesa";"Mo., 03.11.25 20:08";"Mo., 03.11.25";"20:08";"12836-250036846";"Di., 04.11.25";"3";""
"Nguyen & Pham GbR";"Mo., 03.11.25 19:59";"Mo., 03.11.25";"19:59";"10033-250036845";"Di., 04.11.25";"8";""
"El Paso";"Mo., 03.11.25 19:24";"Mo., 03.11.25";"19:24";"10311-250036844";"Mi., 05.11.25";"11";""
"Galaxy Bar Lounge/Stadler Event";"Mo., 03.11.25 19:05";"Mo., 03.11.25";"19:05";"14034-250036843";"Mi., 05.11.25";"4";""
"Spacepub e. V. St. Peter Studentenwohnheim";"Mo., 03.11.25 19:05";"Mo., 03.11.25";"19:05";"12270-250036842";"Di., 04.11.25";"9";""
"Die Rosi";"Mo., 03.11.25 18:59";"Mo., 03.11.25";"18:59";"12906-250036841";"Di., 04.11.25";"13";""
"Gemein und Gefährlich eGbR";"Mo., 03.11.25 18:36";"Mo., 03.11.25";"18:36";"13164-250036840";"Di., 04.11.25";"1";""
"Gemein und Gefährlich eGbR";"Mo., 03.11.25 18:34";"Mo., 03.11.25";"18:34";"13164-250036839";"Di., 04.11.25";"16";""
"Gasthaus Albrecht";"Mo., 03.11.25 17:58";"Mo., 03.11.25";"17:58";"13101-250036838";"Mi., 05.11.25";"2";""
"ZanziBar";"Mo., 03.11.25 17:57";"Mo., 03.11.25";"17:57";"12323-250036837";"Mi., 05.11.25";"6";""
"Da Gallo Restaurant";"Mo., 03.11.25 17:36";"Mo., 03.11.25";"17:36";"13064-250036836";"Mi., 05.11.25";"15";""
"Muu Korean Kitchen";"Mo., 03.11.25 17:32";"Mo., 03.11.25";"17:32";"13486-250036835";"Di., 04.11.25";"6";""
"THE GREEN Rooftop Café";"Mo., 03.11.25 17:27";"Mo., 03.11.25";"17:27";"12046-250036834";"Di., 04.11.25";"7";""
"China Restaurant ASIA HOUSE";"Mo., 03.11.25 17:19";"Mo., 03.11.25";"17:19";"10884-250036833";"Mi., 05.11.25";"13";""
"La Delizia";"Mo., 03.11.25 17:06";"Mo., 03.11.25";"17:06";"13074-250036832";"Di., 04.11.25";"3";""
"Steinplatte Fine Dining GmbH";"Mo., 03.11.25 17:04";"Mo., 03.11.25";"17:04";"13351-250036831";"Di., 04.11.25";"1";""
"Restaurant ComPho 1966";"Mo., 03.11.25 17:00";"Mo., 03.11.25";"17:00";"11896-250036830";"Di., 04.11.25";"14";""
"Galileo GmbH & Co. KG";"Mo., 03.11.25 16:59";"Mo., 03.11.25";"16:59";"10022-250036829";"Di., 04.11.25";"33";""
"esz AG calibration & metrology";"Mo., 03.11.25 16:57";"Mo., 03.11.25";"16:57";"13322-250036828";"Di., 04.11.25";"8";""
"Steinplatte Fine Dining GmbH";"Mo., 03.11.25 16:52";"Mo., 03.11.25";"16:52";"13351-250036827";"Di., 04.11.25";"25";""
"Kumo-Cafe";"Mo., 03.11.25 16:51";"Mo., 03.11.25";"16:51";"13036-250036826";"Di., 04.11.25";"1";""
"Galileo GmbH & Co. KG - KU-Kd.-Nr. 2042311";"Mo., 03.11.25 16:45";"Mo., 03.11.25";"16:45";"12530-250036825";"Di., 04.11.25";"3";""
"globo Restaurant Nguyen & Kieu GbR";"Mo., 03.11.25 16:43";"Mo., 03.11.25";"16:43";"12975-250036824";"Di., 04.11.25";"2";""
"Lascala Restaurant";"Mo., 03.11.25 16:37";"Mo., 03.11.25";"16:37";"12507-250036823";"Mi., 05.11.25";"14";""
"Lovely Fine";"Mo., 03.11.25 16:35";"Mo., 03.11.25";"16:35";"13139-250036822";"Mi., 05.11.25";"4";""
"Bucherer Deutschland GmbH";"Mo., 03.11.25 16:32";"Mo., 03.11.25";"16:32";"12093-250036821";"Di., 04.11.25";"3";""
"Babylon Kino am Stadtpark";"Mo., 03.11.25 16:20";"Mo., 03.11.25";"16:20";"13287-250036820";"Fr., 07.11.25";"24";""
"Krummbeere";"Mo., 03.11.25 16:14";"Mo., 03.11.25";"16:14";"12241-250036819";"Di., 04.11.25";"12";""
"Boulderhalle E4 GmbH & Co. KG";"Mo., 03.11.25 15:40";"Mo., 03.11.25";"15:40";"13386-250036818";"Di., 04.11.25";"24";""
"Diskothek Resi";"Mo., 03.11.25 15:30";"Mo., 03.11.25";"15:30";"11592-250036817";"Di., 04.11.25";"2";""
"Caffé Fatal";"Mo., 03.11.25 15:12";"Mo., 03.11.25";"15:12";"13254-250036816";"Di., 04.11.25";"7";""
"dasPaul Restaurant & Hotel";"Mo., 03.11.25 14:55";"Mo., 03.11.25";"14:55";"10134-250036815";"Di., 04.11.25";"38";""
"Nürnberger Döner";"Mo., 03.11.25 14:50";"Mo., 03.11.25";"14:50";"12452-250036814";"Di., 04.11.25";"3";""
"DER Stern";"Mo., 03.11.25 14:50";"Mo., 03.11.25";"14:50";"11799-250036813";"Mi., 05.11.25";"7";""
"Schuler GmbH";"Mo., 03.11.25 14:43";"Mo., 03.11.25";"14:43";"11500-250036812";"Mi., 05.11.25";"8";""
"Monki Ramen";"Mo., 03.11.25 14:43";"Mo., 03.11.25";"14:43";"11508-250036811";"Di., 04.11.25";"14";""
"Café Space";"Mo., 03.11.25 14:39";"Mo., 03.11.25";"14:39";"10632-250036810";"Di., 04.11.25";"15";""
"Cocoon Restaurant Ingolstadt";"Mo., 03.11.25 14:35";"Mo., 03.11.25";"14:35";"10623-250036809";"Di., 04.11.25";"19";""
"Altstädter Schießhaus GmbH";"Mo., 03.11.25 14:31";"Mo., 03.11.25";"14:31";"12427-250036808";"Di., 04.11.25";"8";""
"Betolo";"Mo., 03.11.25 14:25";"Mo., 03.11.25";"14:25";"13299-250036807";"Di., 04.11.25";"7";""
"Pares GmbH";"Mo., 03.11.25 14:14";"Mo., 03.11.25";"14:14";"14058-250036806";"Di., 04.11.25";"3";""
"L`angelo Pizza & Pasta Am  Eck";"Mo., 03.11.25 14:08";"Mo., 03.11.25";"14:08";"11396-250036805";"Di., 04.11.25";"3";""
"Gasthof Weißes Lamm";"Mo., 03.11.25 13:59";"Mo., 03.11.25";"13:59";"12992-250036804";"Di., 04.11.25";"8";""
"Holy Rolly";"Mo., 03.11.25 13:41";"Mo., 03.11.25";"13:41";"13960-250036803";"Di., 04.11.25";"8";""
"Achilleus Men's Spa & Sauna";"Mo., 03.11.25 13:28";"Mo., 03.11.25";"13:28";"10235-250036802";"Mi., 05.11.25";"31";""
"Lascala Restaurant";"Mo., 03.11.25 13:27";"Mo., 03.11.25";"13:27";"12507-250036801";"Mi., 05.11.25";"14";""
"Thomas Filmtheater GmbH";"Mo., 03.11.25 13:24";"Mo., 03.11.25";"13:24";"12969-250036800";"Do., 06.11.25";"11";""
"Kleegrün GmbH";"Mo., 03.11.25 13:22";"Mo., 03.11.25";"13:22";"12210-250036799";"Mi., 05.11.25";"3";""
"Kulturverein rote Bühne e. V.";"Mo., 03.11.25 13:08";"Mo., 03.11.25";"13:08";"10599-250036798";"Mi., 05.11.25";"21";""
"Il Giardino";"Mo., 03.11.25 13:04";"Mo., 03.11.25";"13:04";"13527-250036797";"Mi., 05.11.25";"7";""
"A.K.N. e.V.";"Mo., 03.11.25 12:55";"Mo., 03.11.25";"12:55";"13378-250036796";"Di., 04.11.25";"13";""
"Il Giardino Kulmbacher DEPOT 2076822";"Mo., 03.11.25 12:54";"Mo., 03.11.25";"12:54";"13571-250036795";"Mi., 05.11.25";"7";""
"Kloster";"Mo., 03.11.25 12:50";"Mo., 03.11.25";"12:50";"10074-250036794";"Di., 04.11.25";"26";""
"24 sieben Shop Innere Laufe Gasse 14/16";"Mo., 03.11.25 12:48";"Mo., 03.11.25";"12:48";"12042-250036793";"Di., 04.11.25";"3";""
"CodeCamp:N GmbH";"Mo., 03.11.25 12:46";"Mo., 03.11.25";"12:46";"13242-250036792";"Mo., 10.11.25";"17";""
"WON";"Mo., 03.11.25 12:44";"Mo., 03.11.25";"12:44";"10554-250036791";"Mi., 05.11.25";"36";""
"Bäcker Feihl -  Kilianstraße";"Mo., 03.11.25 12:42";"Mo., 03.11.25";"12:42";"13780-250036790";"Di., 04.11.25";"3";""
"N-ERGIE Uhrenhaus";"Mo., 03.11.25 12:41";"Mo., 03.11.25";"12:41";"11575-250036789";"Di., 04.11.25";"12";""
"Bäckerei Feihl - Filiale Nbg HBF";"Mo., 03.11.25 12:32";"Mo., 03.11.25";"12:32";"13759-250036788";"Di., 04.11.25";"8";""
"Restaurant San Remo";"Mo., 03.11.25 12:31";"Mo., 03.11.25";"12:31";"12134-250036787";"Di., 04.11.25";"14";""
"Original Berliner Döner Fürth";"Mo., 03.11.25 12:30";"Mo., 03.11.25";"12:30";"14030-250036786";"Di., 04.11.25";"7";""
"Cocoon Amberg Fine Asian";"Mo., 03.11.25 12:30";"Mo., 03.11.25";"12:30";"10501-250036786";"Di., 04.11.25";"35";""
"Litzbarski Gastronomiebetriebe GmbH";"Mo., 03.11.25 12:27";"Mo., 03.11.25";"12:27";"13992-250036785";"Di., 04.11.25";"9";""
"Estragon GmbH";"Mo., 03.11.25 11:56";"Mo., 03.11.25";"11:56";"10014-250036784";"Di., 04.11.25";"5";""
"Bäckerei Pillipp KG";"Mo., 03.11.25 11:53";"Mo., 03.11.25";"11:53";"11144-250036783";"Di., 04.11.25";"7";""
"Bäcker Feihl - Regensburger Straße";"Mo., 03.11.25 11:50";"Mo., 03.11.25";"11:50";"13795-250036782";"Do., 06.11.25";"15";""
"Hiro Sakao GmbH Amberg";"Mo., 03.11.25 11:40";"Mo., 03.11.25";"11:40";"13595-250036781";"Di., 04.11.25";"18";""
"Günther Barthels";"Mo., 03.11.25 11:35";"Mo., 03.11.25";"11:35";"12055-250036780";"Mi., 05.11.25";"3";""
"Candy Werkstatt Am Plärrer";"Mo., 03.11.25 11:28";"Mo., 03.11.25";"11:28";"13063-250036779";"Di., 04.11.25";"2";""
"globo Restaurant Nguyen & Kieu GbR";"Mo., 03.11.25 11:24";"Mo., 03.11.25";"11:24";"12975-250036778";"Di., 04.11.25";"2";""
"Wurstdurst";"Mo., 03.11.25 11:12";"Mo., 03.11.25";"11:12";"10232-250036777";"Di., 04.11.25";"19";""
"Goldener Pudel";"Mo., 03.11.25 11:08";"Mo., 03.11.25";"11:08";"10003-250036776";"Di., 04.11.25";"6";""
"Harlem GbR";"Mo., 03.11.25 11:02";"Mo., 03.11.25";"11:02";"10072-250036775";"Di., 04.11.25";"38";""
"globo Restaurant Nguyen & Kieu GbR";"Mo., 03.11.25 11:01";"Mo., 03.11.25";"11:01";"12975-250036774";"Di., 04.11.25";"5";""
"Gasthaus Hempels Erlangen";"Mo., 03.11.25 10:46";"Mo., 03.11.25";"10:46";"13257-250036773";"Mi., 05.11.25";"18";""
"Mennig, Wisniewski & Konrad 970 GbR";"Mo., 03.11.25 10:42";"Mo., 03.11.25";"10:42";"12677-250036772";"Do., 06.11.25";"17";""
"24 sieben Shop Josephplatz 24";"Mo., 03.11.25 10:40";"Mo., 03.11.25";"10:40";"12633-250036771";"Di., 04.11.25";"4";""
"Donautherme Ingolstadt";"Mo., 03.11.25 10:38";"Mo., 03.11.25";"10:38";"12364-250036770";"Di., 04.11.25";"7";""
"Enchilada Nürnberg GmbH";"Mo., 03.11.25 10:10";"Mo., 03.11.25";"10:10";"12402-250036769";"Di., 04.11.25";"9";""
"24 sieben Shop Dr. Kurt-Schuhmacher-Str. 13";"Mo., 03.11.25 10:08";"Mo., 03.11.25";"10:08";"12243-250036768";"Di., 04.11.25";"2";""
"Bäcker Feihl - Thüringer Straße";"Mo., 03.11.25 10:07";"Mo., 03.11.25";"10:07";"13763-250036767";"Do., 06.11.25";"11";""
"Pfeuffer Immobilien Verwaltung & Management GmbH";"Mo., 03.11.25 09:21";"Mo., 03.11.25";"09:21";"13859-250036766";"Di., 04.11.25";"3";""
"24 sieben Shop Luitpoldstraße 10";"Mo., 03.11.25 09:14";"Mo., 03.11.25";"09:14";"12481-250036765";"Di., 04.11.25";"3";""
"Deutsche Bank AG Corporate Coverage FK";"Mo., 03.11.25 09:12";"Mo., 03.11.25";"09:12";"12256-250036764";"Di., 04.11.25";"3";""
"indoor Fürth GmbH";"Mo., 03.11.25 09:09";"Mo., 03.11.25";"09:09";"12392-250036763";"Mi., 05.11.25";"5";""
"Soccer Halle Nürnberg GmbH ( KICKFABRIK )";"Mo., 03.11.25 09:04";"Mo., 03.11.25";"09:04";"12733-250036762";"Di., 04.11.25";"28";""
"Café Maulbeere CK Citykirchen gGmbH";"Mo., 03.11.25 09:02";"Mo., 03.11.25";"09:02";"13842-250036761";"Di., 04.11.25";"9";""
"Bäcker Feihl - Dr.-Gustav-Heinemann-Straße";"Mo., 03.11.25 09:01";"Mo., 03.11.25";"09:01";"13794-250036760";"Di., 04.11.25";"1";""
"Bäcker Feihl -  Schwabacher Straße 5";"Mo., 03.11.25 08:56";"Mo., 03.11.25";"08:56";"13781-250036759";"Di., 04.11.25";"2";""
"Eiffage Infra-Süd GmbH";"Mo., 03.11.25 08:52";"Mo., 03.11.25";"08:52";"13720-250036758";"Di., 04.11.25";"2";""
"HKL Raumsystemecenter";"Mo., 03.11.25 08:40";"Mo., 03.11.25";"08:40";"13352-250036757";"Di., 04.11.25";"1";""
"24 sieben Shop Wölckernstraße 82";"Mo., 03.11.25 08:29";"Mo., 03.11.25";"08:29";"12242-250036756";"Di., 04.11.25";"3";""
"Der Bäcker Feihl GmbH";"Mo., 03.11.25 08:25";"Mo., 03.11.25";"08:25";"13185-250036755";"Di., 04.11.25";"9";""
"Bäcker Feihl -  Schwabacher Straße 5";"Mo., 03.11.25 08:10";"Mo., 03.11.25";"08:10";"13781-250036754";"Di., 04.11.25";"5";""
"CDC Gastro GmbH";"Mo., 03.11.25 08:10";"Mo., 03.11.25";"08:10";"12092-250036753";"Di., 04.11.25";"16";""
"Bäcker Feihl -  Mimberger Straße 43";"Mo., 03.11.25 08:04";"Mo., 03.11.25";"08:04";"13773-250036752";"Do., 06.11.25";"5";""
"Der Bäcker Feihl GmbH";"Mo., 03.11.25 07:29";"Mo., 03.11.25";"07:29";"13886-250036751";"Di., 04.11.25";"8";""
"DATA AHEAD AG";"Mo., 03.11.25 07:26";"Mo., 03.11.25";"07:26";"13027-250036750";"Di., 04.11.25";"4";""
"Bäcker Feihl - Dombühler Straße";"Mo., 03.11.25 07:06";"Mo., 03.11.25";"07:06";"13766-250036749";"Di., 04.11.25";"11";""
"Bäcker Feihl - Lorenzer Straße";"Mo., 03.11.25 07:03";"Mo., 03.11.25";"07:03";"13775-250036748";"Di., 04.11.25";"14";""
"Bäcker Feihl - Holzgartenstraße";"Mo., 03.11.25 06:58";"Mo., 03.11.25";"06:58";"13765-250036747";"Di., 04.11.25";"2";""
"Bäcker Feihl -  Maria-Hilf-Straße";"Mo., 03.11.25 06:46";"Mo., 03.11.25";"06:46";"13778-250036746";"Do., 06.11.25";"9";""
"Bäcker Feihl - Centrum 12";"Mo., 03.11.25 06:33";"Mo., 03.11.25";"06:33";"13764-250036745";"Do., 06.11.25";"10";""
"Bäcker Feihl - Fürther Straße";"Mo., 03.11.25 06:27";"Mo., 03.11.25";"06:27";"13797-250036744";"Di., 04.11.25";"5";""
"Koller + Schwemmer GmbH";"Mo., 03.11.25 06:24";"Mo., 03.11.25";"06:24";"13248-250036743";"Di., 04.11.25";"4";""
"Bäcker Feihl - Fürther Straße";"Mo., 03.11.25 06:21";"Mo., 03.11.25";"06:21";"13797-250036742";"Di., 04.11.25";"2";""
"Bäcker Feihl - Fürther Straße";"Mo., 03.11.25 06:20";"Mo., 03.11.25";"06:20";"13797-250036741";"Di., 04.11.25";"2";""
"Bäcker Feihl - Fürther Straße";"Mo., 03.11.25 06:19";"Mo., 03.11.25";"06:19";"13797-250036740";"Di., 04.11.25";"8";""
"Schimanski Event GmbH";"Mo., 03.11.25 06:15";"Mo., 03.11.25";"06:15";"13925-250036739";"Mi., 05.11.25";"21";""
"Roland Albert";"Mo., 03.11.25 03:58";"Mo., 03.11.25";"03:58";"13548-250036738";"Mi., 05.11.25";"2";""
"Schwarzlichtfabrik 3D Minigolf";"Mo., 03.11.25 03:58";"Mo., 03.11.25";"03:58";"13251-250036737";"Mo., 03.11.25";"7";""
"D-One Shisha Lounge";"Mo., 03.11.25 02:06";"Mo., 03.11.25";"02:06";"10977-250036736";"Mo., 03.11.25";"12";""
"Super Smash Burger";"Mo., 03.11.25 01:38";"Mo., 03.11.25";"01:38";"13833-250036735";"Di., 04.11.25";"9";""
"Bit Stop Burger";"So., 02.11.25 23:40";"So., 02.11.25";"23:40";"12754-250036734";"Mo., 03.11.25";"15";""
"Twentys Shisha Bar";"So., 02.11.25 23:40";"So., 02.11.25";"23:40";"13685-250036733";"Mo., 03.11.25";"4";""
"Original Berliner Döner";"So., 02.11.25 23:39";"So., 02.11.25";"23:39";"12058-250036732";"Mo., 03.11.25";"9";""
"Original Berliner Döner Erlangen";"So., 02.11.25 23:36";"So., 02.11.25";"23:36";"12330-250036731";"Mo., 03.11.25";"8";""
"Original Berliner Döner";"So., 02.11.25 23:34";"So., 02.11.25";"23:34";"12749-250036730";"Do., 06.11.25";"4";""
"HOY Hospitality GmbH";"So., 02.11.25 23:07";"So., 02.11.25";"23:07";"13926-250036729";"Mo., 03.11.25";"11";""
"Tam Tam Ingolstadt GmbH";"So., 02.11.25 23:06";"So., 02.11.25";"23:06";"12049-250036728";"Di., 04.11.25";"64";""
"Restaurant Café Bar L’incontro";"So., 02.11.25 22:58";"So., 02.11.25";"22:58";"12522-250036727";"Mo., 03.11.25";"12";""
"Restaurant La Vita, Fabio Galizia";"So., 02.11.25 22:36";"So., 02.11.25";"22:36";"11985-250036726";"Mo., 03.11.25";"6";""
"Little Hiro";"So., 02.11.25 22:33";"So., 02.11.25";"22:33";"10728-250036725";"Mo., 03.11.25";"7";""
"Arizona Forchheim GmbH & Co.KG";"So., 02.11.25 22:12";"So., 02.11.25";"22:12";"10025-250036724";"Di., 04.11.25";"9";""
"Burgerheart Bamberg GmbH";"So., 02.11.25 21:57";"So., 02.11.25";"21:57";"11445-250036723";"Mo., 03.11.25";"5";""
"Maro Entertainment GmbH (Blu Bowl)";"So., 02.11.25 21:40";"So., 02.11.25";"21:40";"12204-250036722";"Di., 04.11.25";"8";""
"JINH GmbH";"So., 02.11.25 21:27";"So., 02.11.25";"21:27";"12272-250036721";"Mo., 03.11.25";"22";""
"Presente";"So., 02.11.25 21:21";"So., 02.11.25";"21:21";"12128-250036720";"Di., 04.11.25";"27";""
"Rocket Diner";"So., 02.11.25 21:20";"So., 02.11.25";"21:20";"13093-250036719";"Mo., 03.11.25";"19";""
"Cosy Fine Asian Cuisine & Sushi Bar";"So., 02.11.25 21:12";"So., 02.11.25";"21:12";"12103-250036718";"Mo., 03.11.25";"13";""
"KOKORO";"So., 02.11.25 21:07";"So., 02.11.25";"21:07";"10278-250036717";"Mo., 03.11.25";"14";""
"Ricchi e Poveri";"So., 02.11.25 21:00";"So., 02.11.25";"21:00";"12808-250036716";"Di., 04.11.25";"6";""
"BurgerBar Kuhmuhne GmbH";"So., 02.11.25 20:46";"So., 02.11.25";"20:46";"11360-250036715";"Mo., 03.11.25";"27";""
"Nürnberger Döner";"So., 02.11.25 20:44";"So., 02.11.25";"20:44";"12452-250036714";"Mo., 03.11.25";"15";""
"KoKoNo GmbH";"So., 02.11.25 20:38";"So., 02.11.25";"20:38";"10689-250036713";"Mo., 03.11.25";"4";""
"HENRII Gastronomie GmbH";"So., 02.11.25 20:36";"So., 02.11.25";"20:36";"11212-250036712";"Mo., 03.11.25";"21";""
"Hiro Ramen";"So., 02.11.25 20:34";"So., 02.11.25";"20:34";"12781-250036711";"Mo., 03.11.25";"7";""
"hungry Food & Drink Veitsbronn";"So., 02.11.25 20:21";"So., 02.11.25";"20:21";"12795-250036710";"Mo., 03.11.25";"5";""
"Café Queens DD";"So., 02.11.25 19:47";"So., 02.11.25";"19:47";"12623-250036709";"Mo., 03.11.25";"10";""
"PPN GmbH / Restaurant NIKU";"So., 02.11.25 19:35";"So., 02.11.25";"19:35";"13171-250036708";"Mo., 03.11.25";"26";""
"Aura Schwabach";"So., 02.11.25 19:00";"So., 02.11.25";"19:00";"13197-250036707";"Mo., 03.11.25";"9";""
"Burgerheart Fürth GmbH";"So., 02.11.25 18:34";"So., 02.11.25";"18:34";"11422-250036706";"Mo., 03.11.25";"6";""
"HAUS 33 Entertainment GmbH";"So., 02.11.25 18:04";"So., 02.11.25";"18:04";"12703-250036705";"Sa., 08.11.25";"7";""
"HAUS 33 Entertainment GmbH";"So., 02.11.25 18:00";"So., 02.11.25";"18:00";"12703-250036704";"Sa., 08.11.25";"14";""
"HAUS 33 Entertainment GmbH";"So., 02.11.25 17:59";"So., 02.11.25";"17:59";"12703-250036703";"Sa., 08.11.25";"14";""
"Indisches Restaurant Ganesha";"So., 02.11.25 17:59";"So., 02.11.25";"17:59";"10121-250036702";"Mo., 03.11.25";"9";""
"HAUS 33 Entertainment GmbH";"So., 02.11.25 17:52";"So., 02.11.25";"17:52";"12703-250036701";"Sa., 08.11.25";"13";""
"Stadtparkcafé Fürth";"So., 02.11.25 17:48";"So., 02.11.25";"17:48";"10283-250036700";"Mo., 03.11.25";"13";""
"HAUS 33 Entertainment GmbH";"So., 02.11.25 17:44";"So., 02.11.25";"17:44";"12703-250036699";"Sa., 08.11.25";"3";""
"Bit Stop Burger 2";"So., 02.11.25 17:10";"So., 02.11.25";"17:10";"13817-250036698";"Mo., 03.11.25";"14";""
"Nachtcafé";"So., 02.11.25 16:58";"So., 02.11.25";"16:58";"10024-250036697";"Mo., 03.11.25";"19";""
"Cucina Italiana";"So., 02.11.25 16:42";"So., 02.11.25";"16:42";"12306-250036696";"Di., 04.11.25";"1";""
"Cucina Italiana";"So., 02.11.25 16:41";"So., 02.11.25";"16:41";"12306-250036695";"Di., 04.11.25";"20";""
"Orginal Berliner Döner Bamberg";"So., 02.11.25 16:39";"So., 02.11.25";"16:39";"13498-250036694";"Mo., 03.11.25";"9";""
"Brasserie Nitz";"So., 02.11.25 16:28";"So., 02.11.25";"16:28";"11477-250036693";"Mo., 03.11.25";"4";""
"Der Foodpark";"So., 02.11.25 16:23";"So., 02.11.25";"16:23";"12664-250036692";"Mo., 03.11.25";"6";""
"Die Rakete Gastro GmbH";"So., 02.11.25 16:22";"So., 02.11.25";"16:22";"11864-250036691";"Mi., 05.11.25";"25";""
"Fogón Productions";"So., 02.11.25 16:18";"So., 02.11.25";"16:18";"10524-250036690";"Mi., 05.11.25";"18";""
"Goldener Stern";"So., 02.11.25 16:07";"So., 02.11.25";"16:07";"13053-250036689";"Mo., 03.11.25";"5";""
"Henrietta Gastronomie GmbH";"So., 02.11.25 15:52";"So., 02.11.25";"15:52";"12841-250036688";"Mo., 03.11.25";"12";""
"Swarg Indisches Restaurant KU Depot";"So., 02.11.25 15:38";"So., 02.11.25";"15:38";"12797-250036687";"Mo., 03.11.25";"14";""
"Holuc-Eat & Meet GmbH";"So., 02.11.25 15:33";"So., 02.11.25";"15:33";"14019-250036686";"Mo., 03.11.25";"18";""
"Arizona Erlangen GmbH & Co. KG";"So., 02.11.25 15:28";"So., 02.11.25";"15:28";"10023-250036685";"Di., 04.11.25";"20";""
"Arizona Erlangen GmbH & Co. KG - KU-Kd.-Nr. 2005113";"So., 02.11.25 15:13";"So., 02.11.25";"15:13";"12531-250036684";"Di., 04.11.25";"7";""
"Haymat GmbH";"So., 02.11.25 15:00";"So., 02.11.25";"15:00";"12487-250036683";"Mo., 03.11.25";"5";""
"Packbuy GbR";"So., 02.11.25 14:51";"So., 02.11.25";"14:51";"12701-250036682";"Fr., 07.11.25";"13";""
"Laufer Gastro UG";"So., 02.11.25 14:29";"So., 02.11.25";"14:29";"12405-250036681";"Di., 04.11.25";"15";""
"Zeit & Raum";"So., 02.11.25 14:26";"So., 02.11.25";"14:26";"10096-250036680";"Di., 04.11.25";"37";""
"Santos DOS";"So., 02.11.25 14:14";"So., 02.11.25";"14:14";"13847-250036679";"Mi., 05.11.25";"4";""
"B&A Gastronomie GmbH (Santos)";"So., 02.11.25 13:49";"So., 02.11.25";"13:49";"10317-250036678";"Di., 04.11.25";"7";""
"Koala GmbH";"So., 02.11.25 13:48";"So., 02.11.25";"13:48";"13824-250036677";"Mo., 03.11.25";"8";""
