name,group,spec,status
Nadine Rodler,Standardgruppe,30 FAVORITEN,Zuletzt bestellt vor 9 Tagen
Nagel,Mittwoch,FAVORITEN HINZUFÜGEN,Daten unvollständig
Nagel Manuel,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Nahkauf Lochner,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Nails Palace,Standardgruppe,16 FAVORITEN,Einladung noch nicht angenommen
Napizza Napolenta GbR Nürnberg,Standardgruppe,56 FAVORITEN,Zuletzt bestellt vor 4 Tagen
Napoli Lovers GmbH,Standardgruppe,34 FAVORITEN,Noch keine Bestellung seit 3 Jahre
Nastos Lauterbach GbR,Mittwoch,FAVORITEN HINZUFÜGEN,Daten unvollständig
Nathan's Gastronomie GmbH,Standardgruppe,60 FAVORITEN,Zuletzt bestellt vor 12 Tagen
Naturkindergarten Waldwichtel,Standardgruppe,12 FAVORITEN,Daten unvollständig
Naumann GmbH,Standardgruppe,2 FAVORITEN,Zuletzt bestellt vor 22 Tagen
Navis GmbH,Dienstag,1 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Nelson,Mach 1 Gruppe,127 FAVORITEN,Zuletzt bestellt vor 7 Tagen
Neptun Bamberg,Standardgruppe,56 FAVORITEN,Noch keine Bestellung seit 21 Tage
Nerdberg eV.,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 8 Monate
Nest Coffee,Standardgruppe,31 FAVORITEN,Zuletzt bestellt vor 2 Monaten
Nestlé Waters Deutschland GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Neugebauer Nico Alexander Rose Tobias GbR,Standardgruppe,18 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Neuhäuser,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Neumann & Müller GmbH & Co. KG,Standardgruppe,3 FAVORITEN,Noch keine Bestellung seit 8 Monate
Neumüller Ingenieurbüro GmbH,Standardgruppe,18 FAVORITEN,Zuletzt bestellt vor einem Monat
New Flag GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
New Force,Standardgruppe,44 FAVORITEN,Zuletzt bestellt vor 6 Minuten
New Media AV,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Nexstone Living GmbH,Standardgruppe,2 FAVORITEN,Zuletzt bestellt vor 6 Monaten
Nexsun Fende und Lotter eGbR,Standardgruppe,12 FAVORITEN,Zuletzt bestellt vor 12 Tagen
NextDoor CoffeeClub e. K.,Standardgruppe,54 FAVORITEN,Zuletzt bestellt vor 7 Tagen
Ngo Tri,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Nguyen,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
