name,group,spec,status
ActionPark Nürnberg,Standardgruppe,29 FAVORITEN,Zuletzt bestellt vor 6 Stunden
AdBK Nürnberg,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Adanus GLS,Standardgruppe,21 FAVORITEN,Zuletzt bestellt vor 2 Jahren
Adil Kaya,Standardgruppe,FAVORITEN HINZUFÜGEN,Noch keine Bestellung seit 8 Monate
Adina,Standardgruppe,217 FAVORITEN,Einladung noch nicht angenommen
Admira Apotheke,Standardgruppe,55 FAVORITEN,Zuletzt bestellt vor 6 Tagen
Adnan Troia,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Advanova GmbH,Standardgruppe,2 FAVORITEN,Noch keine Bestellung seit 3 Jahre
Afrique Unique GmbH,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Agentur Clever Contact,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Agentur FF GbR,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Agentur Nachtaktiv GmbH,Standardgruppe,25 FAVORITEN,Zuletzt bestellt vor einem Jahr
Akademie der Bildenden Künste Klasse Eydel,Standardgruppe,11 FAVORITEN,Zuletzt bestellt vor 5 Monaten
Akarca Grüne Welt,Standardgruppe,3 FAVORITEN,Zuletzt bestellt vor 14 Tagen
Aktion hoffnung GmbH VINTY´S,Standardgruppe,3 FAVORITEN,Daten unvollständig
Al Pacino Espressobar,Standardgruppe,15 FAVORITEN,Zuletzt bestellt vor 17 Tagen
Albrecht & Haug GbR,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Alejandro de la Cruz,Standardgruppe,FAVORITEN HINZUFÜGEN,Einladung noch nicht angenommen
Alex-Sportcentrum,Standardgruppe,FAVORITEN HINZUFÜGEN,Daten unvollständig
Alexa Segeta,Standardgruppe,5 FAVORITEN,Zuletzt bestellt vor 13 Tagen
Alexander Herrmann PALAZZO Nürnberg,Standardgruppe,4 FAVORITEN,Zuletzt bestellt vor 9 Monaten
Alexander Russ (deins und meins),Standardgruppe,8 FAVORITEN,Zuletzt bestellt vor 13 Tagen
